NAME,DESCRIPTION,WT_colon_rep1,WT_colon_rep2,WT_colon_rep3,Kras_colon_rep1,Kras_colon_rep2
ENSMUSG00000051951,NA,220.5120992,156.4381722,248.1991729,173.9080464,185.1104599
ENSMUSG00000025902,NA,2.739280735,3.371512332,3.309322305,6.266956626,11.67363261
ENSMUSG00000025902,NA,0.684820184,1.348604933,4.963983458,3.133478313,6.670647203
ENSMUSG00000033845,NA,90.39626426,113.9571168,81.90572706,70.50326204,61.70348663
ENSMUSG00000025903,NA,151.3452606,167.2270117,159.6748012,136.3063066,163.4308565
ENSMUSG00000025903,NA,4.793741287,6.743024664,0.827330576,1.566739156,3.335323602
ENSMUSG00000033813,NA,239.6870643,287.9271531,254.8178175,213.0765253,203.4547397
ENSMUSG00000002459,NA,86.97216334,70.80175897,92.66102455,84.60391444,85.05075184
ENSMUSG00000002459,NA,2.739280735,4.045814798,11.58262807,12.53391325,3.335323602
ENSMUSG00000033793,NA,65.74273765,58.66431458,43.02118997,36.0350006,46.69453042
ENSMUSG00000025905,NA,12.32676331,10.114537,14.89195037,17.23413072,20.01194161
ENSMUSG00000033774,NA,35.61064956,31.01791345,23.16525614,68.93652288,43.35920682
ENSMUSG00000033774,NA,1.369640368,0.674302466,5.791314034,0,1.667661801
ENSMUSG00000025907,NA,265.0254111,300.7389,251.5084952,235.0108735,216.7960341
ENSMUSG00000087247,NA,26.02316698,16.85756166,33.92055363,23.50108735,23.34726521
ENSMUSG00000033740,NA,2.054460551,2.697209866,9.100636339,3.133478313,0
ENSMUSG00000051285,NA,419.1099525,476.0575413,337.5508751,277.3128307,281.8348443
ENSMUSG00000025909,NA,3.424100919,2.697209866,4.136652882,1.566739156,8.338309004
ENSMUSG00000061024,NA,226.6754808,248.8176101,165.4661153,172.3413072,161.7631947
ENSMUSG00000025911,NA,55.47043489,74.1732713,58.74047092,61.1028271,55.03283943
ENSMUSG00000079671,NA,6.163381654,10.114537,9.100636339,12.53391325,13.34129441
ENSMUSG00000025912,NA,197.9130331,250.166215,182.8400574,156.6739156,126.7422969
ENSMUSG00000045210,NA,369.1180791,421.4390415,341.687528,286.7132656,263.4905645
ENSMUSG00000025915,NA,30.81690827,39.10954305,35.57521478,40.73521807,38.35622142
ENSMUSG00000025915,NA,53.41597434,43.82966032,46.33051227,29.76804397,31.68557421
ENSMUSG00000046101,NA,1.369640368,3.371512332,1.654661153,12.53391325,3.335323602
ENSMUSG00000099032,NA,48.62223305,51.24698745,52.12182631,48.56891385,51.69751582
ENSMUSG00000025916,NA,4.108921103,7.41732713,7.445975187,4.700217469,3.335323602
ENSMUSG00000056763,NA,60.26417618,64.05873431,47.15784285,64.23630541,51.69751582
ENSMUSG00000056763,NA,182.1621689,188.1303881,182.8400574,137.8730458,145.0865767
ENSMUSG00000056763,NA,3.424100919,2.022907399,4.963983458,3.133478313,0
ENSMUSG00000056763,NA,2.054460551,6.068722197,12.40995864,0,5.002985402
ENSMUSG00000056763,NA,2.739280735,2.022907399,4.963983458,7.833695782,3.335323602
ENSMUSG00000056763,NA,6.163381654,4.045814798,2.481991729,0,0
ENSMUSG00000056763,NA,0,2.697209866,0,4.700217469,15.00895621
ENSMUSG00000056763,NA,16.43568441,14.16035179,28.12923959,29.76804397,25.01492701
ENSMUSG00000056763,NA,7.533022022,22.92628386,16.54661153,20.36760903,13.34129441
ENSMUSG00000056763,NA,23.28388625,28.99500605,33.09322305,28.20130481,31.68557421
ENSMUSG00000056763,NA,2.054460551,6.743024664,6.618644611,10.96717409,3.335323602
ENSMUSG00000067851,NA,1.369640368,2.022907399,3.309322305,10.96717409,6.670647203
ENSMUSG00000067851,NA,2.739280735,4.045814798,4.136652882,7.833695782,3.335323602
ENSMUSG00000067851,NA,204.0764148,237.3544682,211.7966275,162.9408723,170.1015037
ENSMUSG00000042501,NA,2.739280735,1.348604933,0.827330576,1.566739156,5.002985402
ENSMUSG00000048960,NA,15.75086423,9.440234529,4.963983458,10.96717409,23.34726521
ENSMUSG00000016918,NA,3.424100919,7.41732713,2.481991729,3.133478313,11.67363261
ENSMUSG00000016918,NA,5.47856147,3.371512332,1.654661153,4.700217469,5.002985402
ENSMUSG00000016918,NA,0.684820184,2.697209866,0,6.266956626,15.00895621
ENSMUSG00000025938,NA,19.17496515,22.92628386,6.618644611,20.36760903,18.34427981
ENSMUSG00000025938,NA,49.30705323,33.71512332,32.26589248,43.86869638,51.69751582
ENSMUSG00000005886,NA,8.90266239,13.48604933,15.71928095,17.23413072,16.67661801
ENSMUSG00000005886,NA,171.8898661,119.3515366,186.9767102,177.0415247,190.1134453
ENSMUSG00000005886,NA,365.009158,420.764739,323.4862553,305.5141355,303.5144477
ENSMUSG00000025935,NA,130.1158349,150.36945,172.9120904,106.5382626,133.4129441
ENSMUSG00000025937,NA,34.92582937,68.77885157,52.94915688,36.0350006,76.71244284
ENSMUSG00000025937,NA,254.7531084,292.6472704,259.781801,238.1443518,220.1313577
ENSMUSG00000067813,NA,110.2560496,128.1174686,85.21504936,81.47043613,80.04776644
ENSMUSG00000025930,NA,23.96870643,17.53186413,10.75529749,31.33478313,28.35025061
ENSMUSG00000092083,NA,25.3383468,21.57767892,41.36652882,25.0678265,16.67661801
ENSMUSG00000025925,NA,102.0382074,99.12246256,78.59640475,37.60173975,51.69751582
ENSMUSG00000032719,NA,21.91424588,14.83465426,17.3739421,12.53391325,20.01194161
ENSMUSG00000067795,NA,41.77403121,32.36651839,50.46716516,53.26913132,58.36816303
ENSMUSG00000043716,NA,369.8028993,398.5127576,391.3273626,292.9802222,366.8855962
ENSMUSG00000025921,NA,5.47856147,4.720117265,10.75529749,7.833695782,16.67661801
ENSMUSG00000025920,NA,119.158712,137.5577031,153.0561566,115.9386976,101.7273698
ENSMUSG00000025939,NA,126.0069138,160.483987,126.5815782,98.70456685,93.38906084
ENSMUSG00000097744,NA,187.6407304,237.3544682,190.2860326,125.3391325,173.4368273
ENSMUSG00000025940,NA,45.88295232,41.80675292,47.15784285,31.33478313,48.36219222
ENSMUSG00000025779,NA,6.163381654,1.348604933,2.481991729,1.566739156,3.335323602
ENSMUSG00000025779,NA,76.69986059,61.36152444,65.35911553,75.20347951,68.37413383
ENSMUSG00000042686,NA,94.50518537,81.59059843,118.3082724,92.43761023,96.72438445
ENSMUSG00000025777,NA,1.369640368,0.674302466,6.618644611,6.266956626,0
ENSMUSG00000025927,NA,2.054460551,12.13744439,2.481991729,12.53391325,6.670647203
ENSMUSG00000043760,NA,6.848201838,4.720117265,4.963983458,6.266956626,10.0059708
ENSMUSG00000043760,NA,26.02316698,45.17826525,26.47457844,42.30195722,36.68855962
ENSMUSG00000099906,NA,2.054460551,2.022907399,0.827330576,1.566739156,16.67661801
ENSMUSG00000041859,NA,2.739280735,0,4.963983458,9.400434938,1.667661801
ENSMUSG00000041859,NA,91.08108445,105.1911848,39.71186766,31.33478313,43.35920682
ENSMUSG00000025931,NA,156.8238221,177.3415487,186.9767102,205.2428295,200.1194161
ENSMUSG00000025931,NA,1.369640368,1.348604933,0.827330576,7.833695782,6.670647203
ENSMUSG00000041809,NA,39.71957066,51.92128991,33.92055363,32.90152228,51.69751582
ENSMUSG00000041779,NA,180.1077083,227.9142336,164.6387847,139.4397849,218.4636959
ENSMUSG00000025933,NA,65.74273765,72.1503639,57.08580977,67.36978372,68.37413383
ENSMUSG00000025934,NA,28.07762754,27.64640112,38.05720651,65.80304457,78.38010464
ENSMUSG00000025936,NA,15.06604404,14.16035179,23.99258671,23.50108735,11.67363261
ENSMUSG00000041722,NA,0,2.022907399,5.791314034,3.133478313,1.667661801
ENSMUSG00000028033,NA,2.054460551,3.371512332,6.618644611,3.133478313,1.667661801
ENSMUSG00000028033,NA,56.84007526,40.45814798,28.95657017,72.07000119,86.71841364
ENSMUSG00000041670,NA,36.29546974,37.08663565,32.26589248,45.43543554,30.01791241
ENSMUSG00000073730,NA,2.739280735,4.045814798,4.963983458,10.96717409,13.34129441
ENSMUSG00000026158,NA,1.369640368,2.022907399,6.618644611,3.133478313,1.667661801
ENSMUSG00000026158,NA,0,8.091629597,2.481991729,3.133478313,1.667661801
ENSMUSG00000026158,NA,214.3487175,269.0466841,188.6313714,164.5076114,143.4189149
ENSMUSG00000026158,NA,6.848201838,8.091629597,3.309322305,1.566739156,8.338309004
ENSMUSG00000026156,NA,0,2.697209866,4.136652882,3.133478313,3.335323602
ENSMUSG00000026156,NA,8.90266239,6.068722197,5.791314034,14.10065241,3.335323602
ENSMUSG00000026156,NA,30.81690827,39.78384552,47.98517343,37.60173975,40.02388322
ENSMUSG00000026155,NA,14.38122386,39.10954305,22.33792556,28.20130481,15.00895621
ENSMUSG00000026155,NA,171.8898661,206.3365547,191.1133631,141.0065241,130.0776205
ENSMUSG00000026155,NA,19.85978533,16.18325919,22.33792556,18.80086988,31.68557421
ENSMUSG00000026154,NA,72.59093948,82.93920337,73.63242129,57.96934879,51.69751582
ENSMUSG00000026153,NA,182.1621689,200.942135,185.3220491,156.6739156,145.0865767
