"peak","WT_colon_rep1","WT_colon_rep2","WT_colon_rep3","Kras_colon_rep1","Kras_colon_rep2","ensembl_gene_id"
"chr1:3670545-3672689",220.512099186162,156.438172201901,248.199172894017,173.908046358114,185.110459886261,"ENSMUSG00000051951"
"chr1:4493283-4493363",2.73928073523182,3.37151233193751,3.30932230525355,6.26695662551762,11.6736326054399,"ENSMUSG00000025902"
"chr1:4497886-4497957",0.684820183807955,1.34860493277501,4.96398345788033,3.13347831275881,6.67064720310852,"ENSMUSG00000025902"
"chr1:4785387-4787244",90.3962642626501,113.957116819488,81.9057270550255,70.5032620370732,61.7034866287538,"ENSMUSG00000033845"
"chr1:4807373-4808531",151.345260621558,167.227011664101,159.674801228484,136.306306605008,163.430856476159,"ENSMUSG00000025903"
"chr1:4809078-4809148",4.79374128665569,6.74302466387503,0.827330576313388,1.5667391563794,3.33532360155426,"ENSMUSG00000025903"
"chr1:4857419-4858671",239.687064332784,287.927153147464,254.817817504524,213.076525267599,203.45473969481,"ENSMUSG00000033813"
"chr1:5018455-5021022",86.9721633436103,70.8017589706878,92.6610245470995,84.6039144444878,85.0507518396336,"ENSMUSG00000002459"
"chr1:5070326-5070469",2.73928073523182,4.04581479832502,11.5826280683874,12.5339132510352,3.33532360155426,"ENSMUSG00000002459"
"chr1:5082977-5083601",65.7427376455637,58.6643145757128,43.0211899682962,36.0350005967263,46.6945304217596,"ENSMUSG00000033793"
"chr1:5588309-5588509",12.3267633085432,10.1145369958125,14.891950373641,17.2341307201735,20.0119416093256,"ENSMUSG00000025905"
"chr1:5915450-5916885",35.6106495580137,31.0179134538251,23.1652561367749,68.9365228806938,43.3592068202054,"ENSMUSG00000033774"
"chr1:5917796-5917868",1.36964036761591,0.674302466387503,5.79131403419372,0,1.66766180077713,"ENSMUSG00000033774"
"chr1:6214069-6215551",265.025411133679,300.738900008826,251.50849519927,235.010873456911,216.796034101027,"ENSMUSG00000025907"
"chr1:6359114-6359505",26.0231669847023,16.8575616596876,33.9205536288489,23.5010873456911,23.3472652108798,"ENSMUSG00000087247"
"chr1:6734907-6734997",2.05446055142387,2.69720986555001,9.10063633944727,3.13347831275881,0,"ENSMUSG00000033740"
"chr1:7087862-7090054",419.109952490469,476.057541269577,337.550875135862,277.312830679155,281.834844331335,"ENSMUSG00000051285"
"chr1:9298517-9298588",3.42410091903978,2.69720986555001,4.13665288156694,1.5667391563794,8.33830900388565,"ENSMUSG00000025909"
"chr1:9544831-9546685",226.675480840433,248.817610096989,165.466115262678,172.341307201734,161.763194675382,"ENSMUSG00000061024"
"chr1:9547955-9549212",55.4704348884444,74.1732713026253,58.7404709182506,61.1028270987968,55.0328394256453,"ENSMUSG00000025911"
